#{"t_start": 1657802581.690109, "env_id": "T-v0"}
r,l,t
-8.25,15,204.088066
-10.083333,18,204.121618
-10.0,17,204.152934
-9.833333,17,204.184232
-8.416667,17,204.214664
-10.166667,17,204.242841
-10.333333,19,204.27634
-9.833333,17,204.308404
-8.666667,17,204.339864
-8.083333,15,204.368155
-8.25,15,204.396822
-10.0,17,204.430598
-8.166667,16,204.460171
-7.75,15,204.488416
-10.166667,17,204.53131
-8.083333,15,204.563179
-8.25,15,204.595111
-9.916667,18,204.723021
-9.666667,17,204.759507
-10.166667,17,204.808086
-9.166667,16,204.85072
-9.833333,17,204.884723
-10.333333,19,204.926349
-10.416667,20,204.967483
-8.25,15,204.995062
-11.75,19,205.030879
-10.333333,17,205.064131
-8.083333,15,205.094443
-12.416667,19,205.13607
-8.25,15,205.174911
-8.083333,15,205.213724
-10.666667,18,205.260009
-8.166667,16,205.295291
-8.333333,16,205.321994
-8.916667,16,205.348196
-8.333333,16,205.376058
-8.666667,18,205.405609
-10.5,19,205.436438
-10.166667,17,205.463894
-10.166667,17,205.490785
-10.583333,20,205.522254
-8.166667,16,205.547602
-9.0,17,205.574498
-8.083333,15,205.597572
-8.333333,16,205.62237
-9.083333,18,205.649974
-8.833333,17,205.675812
-8.333333,16,205.703315
-8.25,15,205.735901
-10.166667,17,205.769337
-8.333333,18,205.801372
-10.166667,17,205.829169
-8.25,15,205.854872
-13.416667,23,205.89332
-10.166667,17,205.921095
-10.166667,17,205.949354
-9.833333,17,205.975394
-7.75,15,205.999876
-8.25,15,206.023578
-8.25,15,206.049685
-8.25,15,206.078978
-8.083333,15,206.106354
-10.166667,17,206.13597
-8.25,15,206.162704
-7.0,16,206.190729
-8.75,17,206.220523
-10.166667,17,206.250141
-12.25,19,206.281033
-10.25,18,206.310324
-9.833333,17,206.340244
-8.916667,16,206.367832
-8.333333,16,206.397022
-8.5,16,206.424594
-10.25,18,206.454712
-10.166667,17,206.48291
-10.0,17,206.511534
-10.166667,17,206.540498
-8.25,15,206.566549
-8.333333,16,206.593541
-10.333333,17,206.620821
-10.166667,17,206.648182
-7.75,15,206.673593
-8.416667,16,206.698479
-6.333333,14,206.720598
-11.416667,19,206.752681
-8.25,15,206.775995
-8.416667,16,206.801283
-10.666667,19,206.831347
-10.166667,17,206.858181
-10.25,18,206.886834
-8.166667,16,206.916029
-10.166667,17,206.946998
-8.083333,15,206.97361
-10.166667,17,207.002055
-8.083333,15,207.027348
-9.916667,18,207.058241
-8.25,15,207.084157
-10.25,18,207.112926
-8.5,16,207.137594
-9.833333,17,207.16441
-8.25,15,207.188198
-8.25,15,207.212107
-8.25,15,207.235897
-10.166667,18,207.264415
-8.416667,16,207.289772
-10.166667,17,207.317068
083333,15,207.326593
-8.25,17,207.352746
-10.333333,17,207.379174
-10.166667,17,207.406085
-10.833333,18,207.434758
-12.583333,21,207.468114
-8.083333,15,207.491806
-9.166667,17,207.518834
-8.083333,15,207.542618
01--10.166667,17,207.43-10.5,-10.416667,18,2-10.166667,-8.5,16,207.487-8.33-9.5,17,207.514817
-8.416667,16,207.540-8.25-8.083333,15,207-8.25,15,-8.083333,15-10.25,18,207-11.166667,18,207.617528
2706
-8.25,15,207.147999
-10.083333,18,207.178055
-8.083333,15,207.203919
-12.416667,19,207.236278
-12.666667,20,207.268691
-8.25,15,207.291783
-9.5,20,207.323344
-8.25,15,207.347147
-8.25,15,207.371166
-8.166667,16,207.396477
-8.333333,16,207.421817
-10.166667,17,207.448744
-10.25,18,207.478395
