#{"t_start": 1650888470.1980486, "env_id": "SW-v0"}
r,l,t
1.0,8,36.621543
1.0,16,36.635954
1.0,11,36.645844
1.0,9,36.653736
1.0,9,36.661775
1.0,15,36.675488
1.0,12,36.686401
1.0,10,36.694902
1.0,12,36.704968
1.0,14,36.716552
1.0,13,36.727535
1.0,20,36.744446
1.0,12,36.754484
1.0,8,36.761167
1.0,11,36.770641
1.0,14,36.782788
1.0,12,36.792895
1.0,8,36.799582
1.0,10,36.80784
1.0,14,36.819604
1.0,15,36.832288
1.0,8,36.839065
1.0,13,36.850159
1.0,10,36.858684
1.0,13,36.86987
1.0,11,36.879228
1.0,9,36.887036
1.0,9,36.894747
1.0,15,36.907599
1.0,10,36.916091
1.0,13,36.9273
1.0,18,36.942589
1.0,10,36.951361
1.0,12,36.961662
1.0,8,36.968861
1.0,14,36.981046
1.0,12,36.991374
1.0,14,37.003345
1.0,14,37.015296
1.0,8,37.022226
1.0,12,37.032712
1.0,15,37.045852
1.0,12,37.056301
1.0,15,37.069351
1.0,10,37.078161
1.0,8,37.08526
1.0,8,37.092325
1.0,9,37.100285
1.0,12,37.110838
1.0,12,37.121281
1.0,13,37.132572
1.0,13,37.143922
1.0,10,37.152768
1.0,11,37.162379
1.0,15,37.175511
1.0,11,37.190403
1.0,8,37.199884
1.0,15,37.212908
1.0,10,37.221785
1.0,11,37.231886
1.0,16,37.24585
1.0,25,37.267583
1.0,8,37.274592
1.0,14,37.286736
1.0,15,37.299839
1.0,8,37.306901
1.0,11,37.316491
1.0,8,37.323433
1.0,8,37.330601
1.0,10,37.339452
1.0,12,37.349946
1.0,12,37.360327
1.0,18,37.375993
1.0,10,37.384982
1.0,8,37.392109
1.0,8,37.39905
1.0,13,37.410952
1.0,10,37.419667
1.0,10,37.42845
1.0,14,37.440625
1.0,10,37.449358
1.0,8,37.456301
1.0,10,37.465006
1.0,12,37.475535
1.0,9,37.483529
1.0,8,37.490408
1.0,10,37.49911
1.0,15,37.512274
1.0,16,37.526531
1.0,10,37.535102
1.0,10,37.543965
1.0,8,37.551139
1.0,8,37.558312
1.0,12,37.568813
1.0,10,37.577548
1.0,11,37.587132
1.0,10,37.595719
1.0,9,37.603543
1.0,9,37.61147
1.0,14,37.623786
1.0,10,37.632539
1.0,9,37.64037
1.0,10,37.649202
1.0,15,37.662376
1.0,12,37.672725
1.0,12,37.683321
1.0,14,37.695726
1.0,16,37.709763
1.0,10,37.718657
1.0,11,37.728403
1.0,8,37.735503
1.0,10,37.744344
1.0,12,37.755078
1.0,10,37.763938
1.0,13,37.775276
1.0,15,37.788378
1.0,12,37.798816
1.0,11,37.808439
1.0,13,37.819796
1.0,10,37.828557
1.0,13,37.840031
1.0,9,37.847716
1.0,13,37.858626
1.0,10,37.866694
1.0,10,37.874692
1.0,12,37.884584
1.0,10,37.892869
1.0,14,37.904571
1.0,13,37.915745
1.0,13,39.082908
1.0,12,39.094272
1.0,10,39.103554
1.0,12,39.114373
1.0,14,39.127135
1.0,8,39.134457
1.0,13,39.146218
1.0,10,39.155267
1.0,8,39.162527
1.0,9,39.170795
1.0,16,39.185174
1.0,12,39.196007
1.0,10,39.205099
1.0,10,39.214333
1.0,10,39.223475
1.0,8,39.230747
1.0,11,39.240616
1.0,11,39.250762
1.0,10,39.259761
1.0,10,39.268757
1.0,8,39.275935
1.0,9,39.284214
1.0,12,39.294495
1.0,8,39.301118
1.0,8,39.307784
1.0,14,39.319356
1.0,9,39.326788
1.0,11,39.335847
1.0,10,39.344198
1.0,11,39.353209
1.0,10,39.361545
1.0,10,39.369791
1.0,12,39.37961
1.0,18,39.394587
1.0,10,39.402915
1.0,9,39.410435
1.0,12,39.420266
1.0,8,39.426856
1.0,14,39.43852
1.0,10,39.446759
1.0,8,39.453327
1.0,12,39.463134
1.0,14,39.474579
1.0,8,39.481172
1.0,12,39.491077
1.0,10,39.499449
1.0,12,39.509265
1.0,9,39.51668
1.0,12,39.526354
1.0,10,39.534525
1.0,11,39.543431
1.0,12,39.554185
1.0,15,39.566676
1.0,9,39.574274
1.0,10,39.582461
1.0,10,39.590629
1.0,11,39.599739
1.0,12,39.609727
1.0,10,39.618088
1.0,16,39.631417
1.0,10,39.639857
1.0,13,39.650713
1.0,13,39.661424
1.0,12,39.671273
1.0,11,39.680381
